States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"6,840","5,621","1,137",82
FCT,"1,162",821,316,25
Kano,"1,049",422,577,50
Ogun,544,316,214,14
Edo,518,365,128,25
Rivers,482,264,196,22
Oyo,469,246,216,7
Borno,423,166,231,26
Katsina,411,170,219,22
Kaduna,402,150,242,10
Bauchi,402,162,230,10
Gombe,320,173,135,12
Jigawa,314,131,178,5
Delta,243,168,63,12
Ebonyi,152,82,70,0
Abia,151,135,16,0
Kwara,149,78,70,1
Plateau,148,46,99,3
Nasarawa,132,62,64,6
Sokoto,132,15,103,14
Imo,114,94,19,1
Zamfara,76,0,71,5
Ondo,62,21,32,9
Anambra,53,26,18,9
Yobe,53,10,36,7
Kebbi,50,16,29,5
Osun,50,5,41,4
Niger,49,20,28,1
Akwa Ibom,45,28,15,2
Adamawa,42,4,34,4
Enugu,39,24,14,1
Bayelsa,32,9,20,3
Ekiti,30,10,18,2
Benue,22,20,2,0
Taraba,18,8,10,0
Kogi,3,3,0,0
